Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Trapping Rain Water,100,0.651019945,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Subarray Product Less Than K,100,0.528534493,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
EASY,Valid Parentheses,97.9,0.423228416,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Group Anagrams,97.9,0.709288392,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,LRU Cache,95.5,0.452146575,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Lexicographically Smallest String After Operations With Constraint,93,0.622732196,https://leetcode.com/problems/lexicographically-smallest-string-after-operations-with-constraint,"String, Greedy"
MEDIUM,Generate Parentheses,93,0.771328746,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
HARD,Number of Distinct Roll Sequences,93,0.573250992,https://leetcode.com/problems/number-of-distinct-roll-sequences,"Dynamic Programming, Memoization"
HARD,Find Minimum Diameter After Merging Two Trees,93,0.573803923,https://leetcode.com/problems/find-minimum-diameter-after-merging-two-trees,"Tree, Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Longest Substring Without Repeating Characters,87,0.369361669,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Best Time to Buy and Sell Stock,79.4,0.552596277,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Move Zeroes,79.4,0.628040337,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Zigzag Conversion,79.4,0.516067933,https://leetcode.com/problems/zigzag-conversion,String
EASY,Design HashMap,79.4,0.658939347,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
MEDIUM,Merge Intervals,79.4,0.493952387,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Daily Temperatures,74.5,0.673650283,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Maximal Square,74.5,0.487613331,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Kth Largest Element in an Array,74.5,0.679770353,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Two Sum,74.5,0.557769992,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Container With Most Water,74.5,0.577828267,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,First Missing Positive,74.5,0.410846577,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Number of Islands,68.6,0.623200154,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Longest Palindromic Substring,68.6,0.358461132,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
HARD,Median of Two Sorted Arrays,68.6,0.438145843,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Search in Rotated Sorted Array,68.6,0.428372214,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Pacific Atlantic Water Flow,68.6,0.575338441,https://leetcode.com/problems/pacific-atlantic-water-flow,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Top K Frequent Words,68.6,0.592771943,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
EASY,Reverse Linked List,68.6,0.792065753,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
HARD,LFU Cache,68.6,0.466089864,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Maximum Product Subarray,68.6,0.349416667,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Validate Binary Search Tree,68.6,0.343804188,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,String Compression,68.6,0.580915717,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Set Matrix Zeroes,60.9,0.607088828,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
HARD,Number of Visible People in a Queue,60.9,0.712965688,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack"
MEDIUM,Validate IP Address,60.9,0.278175246,https://leetcode.com/problems/validate-ip-address,String
EASY,First Unique Character in a String,60.9,0.636954909,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Number of Distinct Substrings in a String,60.9,0.645424195,https://leetcode.com/problems/number-of-distinct-substrings-in-a-string,"String, Trie, Rolling Hash, Suffix Array, Hash Function"
MEDIUM,Binary Tree Right Side View,60.9,0.670426006,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Longest Consecutive Sequence,60.9,0.470408388,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Asteroid Collision,60.9,0.455005817,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Sum Root to Leaf Numbers,60.9,0.685276647,https://leetcode.com/problems/sum-root-to-leaf-numbers,"Tree, Depth-First Search, Binary Tree"
